time,dlh,xlh,sy
2023-04-19T15:11:29.31Z,0,0,0
2023-04-19T19:15:29.316Z,0,9.5,16.75
2023-04-19T23:19:29.322Z,0,0,0
2023-04-20T03:23:29.328Z,13,0,4.25
2023-04-20T07:27:29.334Z,7.5,0,6.5
2023-04-20T11:31:29.34Z,0,0,0
2023-04-20T15:35:29.346Z,0,0,0
2023-04-20T19:39:29.352Z,0,0,40
2023-04-20T23:43:29.358Z,0,0,0
2023-04-21T03:47:29.364Z,7.75,7,8
2023-04-21T07:51:29.37Z,2.75,0,6.25
2023-04-21T11:55:29.376Z,0,0,0
2023-04-21T15:59:29.382Z,0,0,0
2023-04-21T20:03:29.388Z,0,0,13.4
2023-04-22T00:07:29.394Z,0,0,0
2023-04-22T04:11:29.4Z,0.75,0,6
2023-04-22T08:15:29.406Z,15,0,6.25
2023-04-22T12:19:29.412Z,0,0,0
2023-04-22T16:23:29.418Z,0,0,0
2023-04-22T20:27:29.424Z,0,0,1
2023-04-23T00:31:29.43Z,0,0,0
2023-04-23T04:35:29.436Z,0,12.25,5.5
2023-04-23T08:39:29.442Z,18,0,3
2023-04-23T12:43:29.448Z,0,0,0
2023-04-23T16:47:29.454Z,0,0,0
2023-04-23T20:51:29.46Z,0,7.75,1
2023-04-24T00:55:29.466Z,0,0,0
2023-04-24T04:59:29.472Z,2.75,0,2.75
2023-04-24T09:03:29.478Z,8.4,0,0.4
2023-04-24T13:07:29.484Z,0,0,0
2023-04-24T17:11:29.49Z,0,0,1.25
2023-04-24T21:15:29.496Z,0,0,0
2023-04-25T01:19:29.502Z,7.75,0,8
2023-04-25T05:23:29.508Z,0,8.75,0
2023-04-25T09:27:29.514Z,18,0,3.25
2023-04-25T13:31:29.52Z,0,0,0
2023-04-25T17:35:29.526Z,0,0,1
2023-04-25T21:39:29.532Z,0,0,0
2023-04-26T01:43:29.538Z,22.75,6.5,15
2023-04-26T05:47:29.544Z,0,0,0
2023-04-26T09:51:29.55Z,13.75,0,3.25
2023-04-26T13:55:29.556Z,0,0,0
2023-04-26T17:59:29.562Z,0,8,0.75
2023-04-26T22:03:29.568Z,0,0,0
2023-04-27T02:07:29.574Z,59,0,1.75
2023-04-27T06:11:29.58Z,0,0,0
2023-04-27T10:15:29.586Z,15.25,0,4
2023-04-27T14:19:29.592Z,0,0,0
2023-04-27T18:23:29.598Z,0,0,1
2023-04-27T22:27:29.604Z,0,0,0
2023-04-28T02:31:29.61Z,8,11,3.5
2023-04-28T06:35:29.616Z,0,0,0
2023-04-28T10:39:29.622Z,5.25,0,3.5
2023-04-28T14:43:29.628Z,0,0,0
2023-04-28T18:47:29.634Z,0,0,1
2023-04-28T22:51:29.64Z,0,0,0
2023-04-29T02:55:29.646Z,50,7.75,0.75
2023-04-29T06:59:29.652Z,0,0,0
2023-04-29T11:03:29.658Z,36.2,0,0.4
2023-04-29T15:07:29.664Z,0,0,0
2023-04-29T19:11:29.67Z,0,0,1.75
2023-04-29T23:15:29.676Z,0,0,0
2023-04-30T03:19:29.682Z,2.75,5.75,0.75
2023-04-30T07:23:29.688Z,0,0,2.5
2023-04-30T11:27:29.694Z,0,0,0
2023-04-30T15:31:29.7Z,0,0,0
2023-04-30T19:35:29.706Z,0,0,1
2023-04-30T23:39:29.712Z,0,0,0
2023-05-01T03:43:29.718Z,7.75,0,3
2023-05-01T07:47:29.724Z,2.5,5,2.75
2023-05-01T11:51:29.73Z,0,0,0
2023-05-01T15:55:29.736Z,0,0,0
2023-05-01T19:59:29.742Z,0,0,0.5
2023-05-02T00:03:29.748Z,0,0,0
2023-05-02T04:07:29.754Z,2.5,2.25,2
2023-05-02T08:11:29.76Z,5.25,0,3.75
2023-05-02T12:15:29.766Z,0,0,0
2023-05-02T16:19:29.772Z,0,0,0
